id,Route_name,Route_link,Bus_name,Bus_type,departing_time,Duration,Reaching_time,Star_rating
295,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 2655,INDRA(A.C. Seater),0 days 07:20:00,03h 00m,0 days 10:20:00,3.8
296,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 24267,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",0 days 07:45:00,03h 45m,0 days 11:30:00,3.8
297,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 23891,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",0 days 08:00:00,03h 20m,0 days 11:20:00,4.0
298,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 2661,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",0 days 08:00:00,03h 00m,0 days 11:00:00,4.1
299,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 3235,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",0 days 08:25:00,04h 15m,0 days 12:40:00,3.8
300,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 2663,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",0 days 08:40:00,03h 00m,0 days 11:40:00,3.3
301,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 2578,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",0 days 08:45:00,04h 15m,0 days 13:00:00,3.9
302,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 2580,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",0 days 09:00:00,03h 30m,0 days 12:30:00,3.8
303,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 2767,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",0 days 09:00:00,04h 45m,0 days 13:45:00,4.4
304,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 2665,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",0 days 09:20:00,03h 00m,0 days 12:20:00,3.9
305,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 3097,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",0 days 09:45:00,04h 22m,0 days 14:07:00,2.6
306,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 3334,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",0 days 10:00:00,03h 01m,0 days 13:01:00,3.8
307,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 24283,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",0 days 10:10:00,03h 30m,0 days 13:40:00,3.0
308,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 8308,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",0 days 10:15:00,03h 30m,0 days 13:45:00,3.8
309,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 27085,METRO LUXURY A/C,0 days 10:20:00,04h 10m,0 days 14:30:00,3.1
310,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 2531,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",0 days 10:30:00,04h 30m,0 days 15:00:00,3.8
311,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 23531,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",0 days 10:50:00,04h 40m,0 days 15:30:00,3.8
312,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 3322,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",0 days 11:10:00,04h 05m,0 days 15:15:00,3.6
313,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 4862,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",0 days 11:15:00,03h 45m,0 days 15:00:00,3.8
314,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 3338,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",0 days 11:20:00,03h 01m,0 days 14:21:00,4.1
315,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 4985,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",0 days 11:45:00,03h 30m,0 days 15:15:00,3.8
316,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 2835,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",0 days 12:00:00,03h 50m,0 days 15:50:00,3.3
317,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 2539,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",0 days 12:30:00,04h 15m,0 days 16:45:00,3.8
318,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 27153,METRO LUXURY A/C,0 days 12:45:00,03h 05m,0 days 15:50:00,3.5
319,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 24277,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",0 days 13:00:00,03h 30m,0 days 16:30:00,3.9
320,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 2540,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",0 days 13:15:00,04h 30m,0 days 17:45:00,3.4
321,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 2817,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",0 days 13:30:00,03h 00m,0 days 16:30:00,3.8
322,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 4929,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",0 days 13:30:00,04h 10m,0 days 17:40:00,2.9
323,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 3416,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",0 days 14:00:00,04h 00m,0 days 18:00:00,4.2
324,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 2667,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",0 days 14:00:00,03h 00m,0 days 17:00:00,3.8
325,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 24265,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",0 days 14:10:00,03h 20m,0 days 17:30:00,4.0
326,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 23567,INDRA(A.C. Seater),0 days 14:20:00,03h 10m,0 days 17:30:00,3.8
327,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 2819,INDRA(A.C. Seater),0 days 14:30:00,03h 00m,0 days 17:30:00,3.8
328,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 23549,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",0 days 14:45:00,04h 30m,0 days 19:15:00,3.8
329,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 2669,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",0 days 15:00:00,03h 00m,0 days 18:00:00,4.4
330,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 2532,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",0 days 15:10:00,04h 35m,0 days 19:45:00,3.6
331,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 3474,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",0 days 15:20:00,04h 10m,0 days 19:30:00,3.8
332,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 2689,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",0 days 15:30:00,03h 00m,0 days 18:30:00,3.8
333,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 24279,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",0 days 15:40:00,03h 50m,0 days 19:30:00,3.8
334,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 27129,METRO LUXURY A/C,0 days 16:00:00,03h 05m,0 days 19:05:00,3.3
335,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 2524,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",0 days 16:15:00,04h 30m,0 days 20:45:00,3.8
336,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 2695,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",0 days 16:30:00,03h 00m,0 days 19:30:00,4.4
337,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 3406,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",0 days 16:45:00,03h 45m,0 days 20:30:00,3.8
338,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 2891,INDRA(A.C. Seater),0 days 17:00:00,03h 00m,0 days 20:00:00,4.6
339,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 2534,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",0 days 17:15:00,04h 30m,0 days 21:45:00,2.4
340,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 2815,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",0 days 17:30:00,03h 00m,0 days 20:30:00,4.6
341,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 23527,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",0 days 17:45:00,04h 30m,0 days 22:15:00,3.8
342,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 3332,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",0 days 18:00:00,04h 00m,0 days 22:00:00,3.8
343,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 27083,METRO LUXURY A/C,0 days 18:00:00,02h 50m,0 days 20:50:00,4.3
344,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 2857,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",0 days 18:15:00,05h 15m,0 days 23:30:00,4.2
345,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 2869,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",0 days 18:30:00,03h 00m,0 days 21:30:00,3.6
346,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 3324,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",0 days 19:00:00,04h 00m,0 days 23:00:00,2.7
347,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 24275,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",0 days 19:20:00,03h 30m,0 days 22:50:00,4.1
348,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 27133,METRO LUXURY A/C,0 days 19:40:00,03h 05m,0 days 22:45:00,4.0
349,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 27093,METRO LUXURY A/C,0 days 20:20:00,03h 50m,0 days 00:10:00,4.4
350,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 2217,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",0 days 20:30:00,04h 00m,0 days 00:30:00,4.2
351,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 3104,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",0 days 21:00:00,05h 15m,0 days 02:15:00,5.0
352,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 3189,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",0 days 21:20:00,03h 55m,0 days 01:15:00,4.7
353,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 4870,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",0 days 21:45:00,04h 15m,0 days 02:00:00,4.4
354,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 3326,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",0 days 21:50:00,04h 10m,0 days 02:00:00,3.5
355,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 24281,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",0 days 22:00:00,04h 15m,0 days 02:15:00,4.6
356,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 3354,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",0 days 22:00:00,03h 10m,0 days 01:10:00,4.1
357,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 23887,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",0 days 22:10:00,03h 50m,0 days 02:00:00,3.9
358,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 3438,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",0 days 22:40:00,03h 10m,0 days 01:50:00,4.6
359,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 2765,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",0 days 22:45:00,04h 15m,0 days 03:00:00,4.1
360,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 2405,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",0 days 23:00:00,04h 00m,0 days 03:00:00,4.1
361,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 4872,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",0 days 23:00:00,04h 15m,0 days 03:15:00,4.0
362,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 2851,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",0 days 23:30:00,04h 20m,0 days 03:50:00,4.7
363,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 23539,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",0 days 23:35:00,04h 25m,0 days 04:00:00,4.1
364,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,APSRTC - 3472,INDRA(A.C. Seater),0 days 23:40:00,03h 20m,0 days 03:00:00,4.3
365,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,Sai RK Travels,Non A/C Seater / Sleeper (2+1),0 days 02:25:00,03h 05m,0 days 05:30:00,3.8
366,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,MAHA BUS,A/C Sleeper (2+1),0 days 01:40:00,03h 20m,0 days 05:00:00,4.0
367,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,Morning Star Travels,A/C Sleeper (2+1),0 days 02:10:00,02h 50m,0 days 05:00:00,3.3
368,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/Kakinada to Visakhapatnam,Gaganasri Travels,Non A/C Seater / Sleeper (2+1),0 days 23:50:00,03h 40m,0 days 03:30:00,4.2
369,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupati,NueGo,A/C Seater (2+2),0 days 05:00:00,06h 15m,0 days 11:15:00,4.0
370,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupati,Yolo Bus,Bharat Benz A/C Seater /Sleeper (2+1),0 days 06:00:00,05h 48m,0 days 11:48:00,4.4
371,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupati,NueGo,Electric A/C Seater (2+2),0 days 06:00:00,05h 30m,0 days 11:30:00,3.4
372,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupati,AdHYBUS,Bharat Benz A/C Sleeper (2+1),0 days 20:30:00,05h 30m,0 days 02:00:00,3.8
373,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupati,HYBUS,Bharat Benz A/C Sleeper (2+1),0 days 06:30:00,05h 30m,0 days 12:00:00,3.7
374,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupati,FRESHBUS,Electric A/C Seater (2+2),0 days 06:35:00,05h 40m,0 days 12:15:00,3.1
375,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupati,NueGo,Electric A/C Seater (2+2),0 days 07:00:00,05h 30m,0 days 12:30:00,4.6
376,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupati,AdRK Travels,A/C Seater / Sleeper (2+1),0 days 20:45:00,06h 15m,0 days 03:00:00,4.8
377,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupati,FRESHBUS,Electric A/C Seater (2+2),0 days 08:25:00,05h 40m,0 days 14:05:00,3.1
378,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupati,NueGo,Electric A/C Seater (2+2),0 days 09:00:00,05h 30m,0 days 14:30:00,4.3
379,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupati,NueGo,A/C Seater (2+2),0 days 11:00:00,06h 15m,0 days 17:15:00,4.0
380,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupati,FRESHBUS,Electric A/C Seater (2+2),0 days 12:35:00,05h 40m,0 days 18:15:00,3.7
381,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupati,NueGo,Electric A/C Seater (2+2),0 days 13:00:00,05h 30m,0 days 18:30:00,3.5
382,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupati,Yolo Bus,Bharat Benz A/C Seater /Sleeper (2+1),0 days 13:45:00,05h 48m,0 days 19:33:00,3.4
383,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupati,NueGo,Electric A/C Seater (2+2),0 days 14:00:00,05h 30m,0 days 19:30:00,4.6
384,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupati,FRESHBUS,Electric A/C Seater (2+2),0 days 14:30:00,06h 20m,0 days 20:50:00,3.4
385,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupati,Yolo Bus,Bharat Benz A/C Seater /Sleeper (2+1),0 days 14:55:00,06h 28m,0 days 21:23:00,3.6
386,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupati,Rajesh Transports,NON A/C Sleeper (2+1),0 days 15:30:00,04h 40m,0 days 20:10:00,3.3
387,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupati,VKV Travels,A/C Sleeper (2+1),0 days 16:00:00,04h 30m,0 days 20:30:00,4.7
388,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupati,Shyamoli Paribahan Pvt Ltd,Volvo 9600 A/C Seater/Sleeper (2+1),0 days 16:15:00,05h 00m,0 days 21:15:00,4.5
389,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupati,Shree Manikanta Travels,Volvo 9600 Multi-Axle A/C Sleeper (2+1),0 days 16:30:00,04h 50m,0 days 21:20:00,3.4
390,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupati,Rajesh Transports,A/C Seater / Sleeper (2+1),0 days 17:30:00,05h 00m,0 days 22:30:00,4.0
391,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupati,NueGo,A/C Seater (2+2),0 days 18:00:00,29h 55m,0 days 23:55:00,3.5
392,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupati,FlixBus,A/C Sleeper (2+1),0 days 18:00:00,07h 05m,0 days 01:05:00,5.0
393,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupati,Sai Balaji Travels,A/C Seater / Sleeper (2+1),0 days 18:50:00,05h 09m,0 days 23:59:00,4.0
394,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupati,Kaveri Travels,A/C Seater / Sleeper (2+1),0 days 19:00:00,04h 30m,0 days 23:30:00,4.6
395,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupati,Jabbar Travels,VE A/C Sleeper (2+1),0 days 19:00:00,05h 30m,0 days 00:30:00,3.0
396,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupati,Jagan Travels,A/C Sleeper (2+1),0 days 19:00:00,04h 45m,0 days 23:45:00,3.5
397,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupati,FRESHBUS,Electric A/C Seater (2+2),0 days 19:20:00,05h 40m,0 days 01:00:00,3.6
398,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupati,IntrCity SmartBus,AC Sleeper (2+1),0 days 19:30:00,04h 15m,0 days 23:45:00,4.2
399,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupati,Northern Travels,Bharat Benz A/C Sleeper (2+1),0 days 19:30:00,04h 00m,0 days 23:30:00,3.9
400,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupati,IntrCity SmartBus,A/C Seater / Sleeper (2+1),0 days 19:50:00,04h 35m,0 days 00:25:00,3.5
401,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupati,Sri Vengamamba Bus Transport (SVBT),A/C Sleeper (2+1),0 days 20:00:00,05h 30m,0 days 01:30:00,4.7
402,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupati,NueGo,Electric A/C Seater (2+2),0 days 20:00:00,05h 30m,0 days 01:30:00,3.4
403,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupati,V Kaveri Travels,Non A/C Seater / Sleeper (2+1),0 days 20:00:00,03h 59m,0 days 23:59:00,4.7
404,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupati,Sri KVR Travels,Non A/C Seater / Sleeper (2+1),0 days 20:00:00,04h 30m,0 days 00:30:00,3.9
405,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupati,IntrCity SmartBus,A/C Seater / Sleeper (2+1),0 days 20:10:00,04h 15m,0 days 00:25:00,4.0
406,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupati,RK Travels,Non A/C Seater / Sleeper (2+1),0 days 20:20:00,07h 00m,0 days 03:20:00,3.0
407,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupati,LUCKY TRAVELS,A/C Sleeper (2+1),0 days 20:25:00,07h 35m,0 days 04:00:00,3.5
408,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupati,RK Travels,Non A/C Seater / Sleeper (2+1),0 days 20:30:00,07h 00m,0 days 03:30:00,4.0
409,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupati,Sri Vengamamba Bus Transport (SVBT),A/C Sleeper (2+1),0 days 20:30:00,05h 30m,0 days 02:00:00,4.1
410,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupati,Intercity travels,Bharat Benz A/C Sleeper (2+1),0 days 20:30:00,05h 00m,0 days 01:30:00,3.9
411,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupati,RK Travels,Non A/C Seater / Sleeper (2+1),0 days 20:30:00,07h 30m,0 days 04:00:00,3.7
412,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupati,Kamakshi Tours And Travels,A/C Sleeper (2+1),0 days 20:30:00,05h 30m,0 days 02:00:00,3.8
413,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupati,RK Travels,Non A/C Seater / Sleeper (2+1),0 days 20:40:00,07h 00m,0 days 03:40:00,4.6
414,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupati,SRI RATAN TATA EXPRESS,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),0 days 20:40:00,05h 50m,0 days 02:30:00,3.7
415,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupati,MRS TRAVELS,A/C Sleeper (2+1),0 days 20:45:00,06h 45m,0 days 03:30:00,4.1
416,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupati,BSRM Travels,Non A/C Seater / Sleeper (2+1),0 days 20:45:00,07h 05m,0 days 03:50:00,3.9
417,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupati,National travels,VE A/C Sleeper (2+1),0 days 20:45:00,07h 00m,0 days 03:45:00,4.0
418,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupati,Rajeswari Travels,Non A/C Seater / Sleeper (2+1),0 days 20:50:00,06h 50m,0 days 03:40:00,4.4
419,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupati,Zingbus Plus,A/C Seater / Sleeper (2+1),0 days 20:50:00,04h 40m,0 days 01:30:00,4.3
420,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupati,Yolo Bus,Bharat Benz A/C Seater /Sleeper (2+1),0 days 21:00:00,05h 48m,0 days 02:48:00,4.1
